ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"332763",Vis,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Vis,Split
"332755",Vis,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Komiža,Split
"311693",Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,Hvar,Hvar
"301612",Supetar,Splitsko-dalmatinska županija,Split,Šumarija Brač,Split,Milna,Brač
"329860",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Stobreč,Split
"329835",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Split,Split
"329711",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Solin,Split
"329690",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Prugovo,Split
"329681",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Pribude,Split
"329649",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Milešine,Split
"329584",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Konjsko,Split
"329568",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Gornji Muć,Split
"329550",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Gornje Postinje,Split
"329541",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Gornje Ogorje,Split
"329533",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Gizdavac,Split
"329517",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Dugobabe,Split
"329509",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Donji Muć,Split
"329487",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Donje Ogorje,Split
"329444",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Bročanac,Split
"329428",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Blaca,Split
"325767",Sinj,Splitsko-dalmatinska županija,Split,Šumarija Sinj,Split,Otišić,Sinj
"337170",Opatija,Primorsko-goranska županija,Rijeka,Šumarija Opatija-Matulji,Buzet,Mihotići,Opatija-Matulji
"323829",Poreè,Istarska županija,Pazin,Šumarija Poreč,Buzet,Vižinada,Poreč
"323675",Poreè,Istarska županija,Pazin,Šumarija Poreč,Buzet,Kaštelir,Poreč
"322598",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Zumesk,Pazin
"322571",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Zamask,Pazin
"322482",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Semić,Pazin
"322393",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Motovun,Pazin
"322377",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Lesišćina,Pazin
"322261",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Gorenja Vas,Pazin
"322245",Pazin,Istarska županija,Pazin,Šumarija Pazin,Buzet,Draguć,Pazin
