ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"330329",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Velika Glava,Šibenik
"330302",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Vaćani,Šibenik
"330264",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Šibenik,Šibenik
"330256",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Srima,Šibenik
"330248",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Slivno,Šibenik
"330230",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Skradin,Šibenik
"330221",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Sitno Donje,Šibenik
"330205",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Rupe,Šibenik
"330116",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Martinska,Šibenik
"330108",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Mandalina,Šibenik
"330094",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Lozovac,Šibenik
"330086",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Lepenica,Šibenik
"330078",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Krapanj,Šibenik
"330051",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Konjevrate,Šibenik
"330035",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Jadrtovac,Šibenik
"330027",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Grebaštica,Šibenik
"330019",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Gorica,Šibenik
"329991",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Dubravice,Šibenik
"329983",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Dubrava,Šibenik
