USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Split,Benkovac,NA,NA,Korlat,d.1396/1,19.0216,1,8,NA,d.1396/1,1396/1,300535,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300535_1396/1,KC_ZADZ.csv,10716609,300535.00000000006,1396/1,18520.704254724227,4532203.827311538
Split,Benkovac,NA,NA,Lepuri,d.968/2,57,1,8,NA,d.968/2,968/2,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_968/2,KC_ZADZ.csv,12513682,300551.00000000006,968/2,4609.6672667664525,594475.0899494252
Split,Benkovac,NA,NA,Lepuri,d.2200/1,37,1,8,NA,d.2200/1,2200/1,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_2200/1,KC_ZADZ.csv,12518594,300551.00000000006,2200/1,3091.5702437723207,384035.7392265346
Split,Benkovac,NA,NA,Lepuri,2077,7.66,1,8,NA,2077,2077,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_2077,KC_ZADZ.csv,12505197,300551.00000000006,2077,2026.6832480419178,227122.31670578115
Split,Benkovac,NA,NA,Lepuri,2078,14.1059,1,8,NA,2078,2078,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_2078,KC_ZADZ.csv,12514907,300551.00000000006,2078,2199.6877138137424,202156.9890337227
Split,Benkovac,NA,NA,Lepuri,2076,7.9293,1,8,NA,2076,2076,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_2076,KC_ZADZ.csv,12510035,300551.00000000006,2076,1426.0871431581513,78585.04959011918
Split,Benkovac,NA,NA,Lepuri,2075/1,28.846,1,8,NA,2075/1,2075/1,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_2075/1,KC_ZADZ.csv,12510036,300551.00000000006,2075/1,3193.1259135290748,517871.40955266106
Split,Benkovac,NA,NA,Lepuri,2070,16.5,1,8,NA,2070,2070,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_2070,KC_ZADZ.csv,12513643,300551.00000000006,2070,2894.956966442721,408198.2274726695
Split,Benkovac,NA,NA,Lišane Ostrovica,d.199/2,20,1,8,NA,d.199/2,199/2,300578,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300578_199/2,KC_ZADZ.csv,12549367,300578,199/2,5428.514078578459,857724.1052915545
Split,Benkovac,NA,NA,Lišane Ostrovica,d.253,18,1,8,NA,d.253,253,300578,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300578_253,KC_ZADZ.csv,12548271,300578,253,3411.2911051273704,458910.8201643505
Split,Benkovac,NA,NA,Donje Biljane,856/71,30,1,8,NA,856/71,856/71,300454,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300454_856/71,KC_ZADZ.csv,8210812,300454,856/71,2425.687718052235,305780.6463982832
Split,Benkovac,NA,NA,Gornje Biljane,d.1271/1,24,1,8,NA,"d.1271/1, d.1271/2",1271/1,300489,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300489_1271/1,KC_ZADZ.csv,9109031,300488.99999999994,1271/1,3655.434842874325,749910.5552495436
