USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Senj,Krk,NA,NA,Stara Baška,937/1,104.97,1,5,NA,937/1,937/1,316016,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,316016_937/1,KC_PGZ.csv,3286579,316016,937/1,9349.973987783953,1036254.0244113908
Senj,Krk,NA,NA,Stara Baška,d.937/301,107.83,1,5,NA,d.937/301,937/301,316016,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,316016_937/301,KC_PGZ.csv,3286576,316016,937/301,11517.625084866484,1079541.105582918
Senj,Krk,NA,NA,Stara Baška,d.937/302,14,1,5,NA,d.937/302,937/302,316016,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,316016_937/302,KC_PGZ.csv,3286575,316016,937/302,7279.168549815328,750153.9546275131
Senj,Krk,NA,NA,Stara Baška,d.937/303,8,1,5,NA,d.937/303,937/303,316016,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,316016_937/303,KC_PGZ.csv,3274415,316016,937/303,13048.186609281605,1094408.0260841735
Senj,Krk,NA,NA,Batomalj,d.5210/6,231.93,1,5,NA,d.5210/6,5210/6,315842,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,315842_5210/6,KC_PGZ.csv,9633276,315842,5210/6,21408.00670147231,2945800.628167663
Senj,Krk,NA,NA,Batomalj,d.5210/359,513.35,1,5,NA,d.5210/359,5210/359,315842,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,315842_5210/359,KC_PGZ.csv,9643106,315842,5210/359,35717.96918070115,5292266.537323133
Senj,Krk,NA,NA,Batomalj,d.5210/359,513.35,1,5,NA,d.5210/359,5210/359,315842,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,315842_5210/359,KC_PGZ.csv,9647583,315842,5210/359,137.76360703060234,1062.8042212757773
Senj,Krk,NA,NA,Batomalj,5210/363,159,1,5,NA,5210/363,5210/363,315842,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,315842_5210/363,KC_PGZ.csv,9640628,315842,5210/363,22051.645920806124,2175979.5820497302
Senj,Krk,NA,NA,Sužan,1959/1,10.83,1,5,NA,1959/1,1959/1,316024,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,316024_1959/1,KC_PGZ.csv,10654918,316024,1959/1,1300.2684903616557,109485.23541154795
Senj,Krk,NA,NA,Sužan,1959/2,15.72,1,5,NA,1959/2,1959/2,316024,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,316024_1959/2,KC_PGZ.csv,10652396,316024,1959/2,1713.742549977157,157189.65936978976
