USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Split,Benkovac,NA,NA,Lepuri,d.1634/1,47.8397,1,9,NA,d.1634/1,1634/1,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_1634/1,KC_ZADZ.csv,12505162,300551.00000000006,1634/1,4808.60557347771,633132.4183233664
Split,Benkovac,NA,NA,Lepuri,d.1914/1,22.5982,1,9,NA,d.1914/1,1914/1,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_1914/1,KC_ZADZ.csv,12512653,300551.00000000006,1914/1,2687.6467247143014,297689.65668506385
Split,Benkovac,NA,NA,Lišane Ostrovica,d.445/9,1.208,1,9,NA,d.445/9,445/9,300578,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300578_445/9,KC_ZADZ.csv,12551617,300578,445/9,5219.108226847754,727211.5915516925
Split,Benkovac,NA,NA,Gornje Biljane,d.1271/1,1.0468,1,9,NA,d.1271/1,1271/1,300489,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300489_1271/1,KC_ZADZ.csv,9109031,300488.99999999994,1271/1,3655.434842874325,749910.5552495436
Split,Benkovac,NA,NA,Gornje Biljane,d.1271/2,9.6532,1,9,NA,d.1271/2,1271/2,300489,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300489_1271/2,KC_ZADZ.csv,9107830,300488.99999999994,1271/2,2873.6577182943993,430800.51021530904
Split,Benkovac,NA,NA,Korlat,d.1396/1,33.9819,1,9,NA,d.1396/1,1396/1,300535,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300535_1396/1,KC_ZADZ.csv,10716609,300535.00000000006,1396/1,18520.704254724227,4532203.827311538
Split,Benkovac,NA,NA,Korlat,d.1396/1,30.1198,1,9,NA,d.1396/1,1396/1,300535,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300535_1396/1,KC_ZADZ.csv,10716609,300535.00000000006,1396/1,18520.704254724227,4532203.827311538
Split,Benkovac,NA,NA,Tinj,d.501/1,6.408,1,9,NA,d.501/1,501/1,300713,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300713_501/1,KC_ZADZ.csv,10716899,300712.99999999994,501/1,125.53051171078522,808.5641777645593
Split,Biograd,NA,NA,Pakoštane,d.2388/1,5.0261,1,9,d.2388/1 N.I (d.344/6 S.I.),"d.2388/1, d.344/6",2388/1,300829,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300829_2388/1,KC_ZADZ.csv,5893202,300828.99999999994,2388/1,11782.949852117623,1128670.894067783
Split,Biograd,NA,NA,Pakoštane,d.344/6,5.0261,1,9,d.2388/1 N.I (d.344/6 S.I.),"d.2388/1, d.344/6",344/6,300829,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300829_344/6,NA,NA,NA,NA,NA,NA
Split,Biograd,NA,NA,Pakoštane,d.2388/1,6.9,1,9,NA,"d.2388/1, d.344/6",2388/1,300829,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300829_2388/1,KC_ZADZ.csv,5893202,300828.99999999994,2388/1,11782.949852117623,1128670.894067783
Split,Biograd,NA,NA,Pakoštane,d.344/6,6.9,1,9,NA,"d.2388/1, d.344/6",344/6,300829,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300829_344/6,NA,NA,NA,NA,NA,NA
Split,Biograd,NA,NA,Pakoštane,d.2388/1,1.8,1,9,NA,"d.2388/1, d.344/6",2388/1,300829,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300829_2388/1,KC_ZADZ.csv,5893202,300828.99999999994,2388/1,11782.949852117623,1128670.894067783
Split,Biograd,NA,NA,Pakoštane,d.344/6,1.8,1,9,NA,"d.2388/1, d.344/6",344/6,300829,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300829_344/6,NA,NA,NA,NA,NA,NA
Split,Biograd,NA,NA,Biograd na moru,d.3704/1,1.4929,1,9,d.3704/1 (d.455/1 S.I.),"d.3704/1, d.455/1",3704/1,300756,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300756_3704/1,KC_ZADZ.csv,14117190,300756,3704/1,1831.9126027379232,72540.99882769666
Split,Biograd,NA,NA,Biograd na moru,d.455/1,1.4929,1,9,d.3704/1 (d.455/1 S.I.),"d.3704/1, d.455/1",455/1,300756,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300756_455/1,KC_ZADZ.csv,14119215,300756,455/1,211.42112533542638,991.9014440666443
Split,Biograd,NA,NA,Biograd na moru,d.3704/14,0.0184,1,9,d.3704/14 (d.455/1 S.I.),"d.3704/14, d.455/1",3704/14,300756,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300756_3704/14,KC_ZADZ.csv,14120186,300756,3704/14,62.409295061514754,184.16884717608002
Split,Biograd,NA,NA,Biograd na moru,d.455/1,0.0184,1,9,d.3704/14 (d.455/1 S.I.),"d.3704/14, d.455/1",455/1,300756,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300756_455/1,KC_ZADZ.csv,14119215,300756,455/1,211.42112533542638,991.9014440666443
Split,Biograd,NA,NA,Mrljane,d.2708/218,5,1,9,NA,d.2708/218,2708/218,300799,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300799_2708/218,KC_ZADZ.csv,3709955,300799.00000000006,2708/218,2683.1270452712497,206803.53585805563
Split,Biograd,NA,NA,Mrljane,d.2708/218,1.7661,1,9,NA,d.2708/218,2708/218,300799,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300799_2708/218,KC_ZADZ.csv,3709955,300799.00000000006,2708/218,2683.1270452712497,206803.53585805563
Split,Biograd,NA,NA,Mrljane,d.2708/140,4.3763,1,9,NA,d.2708/140,2708/140,300799,Biograd na moru,Zadarska županija,Zadar,Šumarija Biograd,Split,300799_2708/140,KC_ZADZ.csv,3709954,300799.00000000006,2708/140,6200.064538253393,826408.5748628251
Split,Brač,NA,NA,Bol,5417,14.4247,1,9,NA,5417,5417,301558,Supetar,Splitsko-dalmatinska županija,Split,Šumarija Brač,Split,301558_5417,KC_SDZ.csv,4498844,301558,5417,2360.0680342259543,145353.8896982157
Split,Dubrovnik,NA,NA,Ošlje,d.4097/1,32,1,9,NA,d.4097/1,4097/1,306894,Dubrovnik,Dubrovačko-neretvanska župani,Dubrovnik,Šumarija Dubrovnik,Split,306894_4097/1,KC_DNZ.csv,1066372,306894,4097/1,14132.76017909847,3634159.2401873474
Split,Imotski,NA,NA,Studenci,d.499,0.439,1,9,NA,d.499,499,312002,Imotski,Splitsko-dalmatinska županija,Split,Šumarija Imotski,Split,312002_499,KC_SDZ.csv,3437228,312002,499,356.44117010943427,4314.609418066777
Split,Imotski,NA,NA,Studenci,d.506,0.77,1,9,NA,d.506,506,312002,Imotski,Splitsko-dalmatinska županija,Split,Šumarija Imotski,Split,312002_506,KC_SDZ.csv,3448080,312002,506,847.1019464777199,13364.008686852212
Split,Imotski,NA,NA,Lovreć,d.3666/1,0.35,1,9,NA,d.3666/1,3666/1,311898,Imotski,Splitsko-dalmatinska županija,Split,Šumarija Imotski,Split,311898_3666/1,KC_SDZ.csv,9964020,311898,3666/1,19745.927074734547,2303149.939097468
Split,Knin,NA,NA,Vrbnik,d.3578,15.38,1,9,NA,d.3578,3578,314102,Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,314102_3578,KC_SKZ.csv,6452290,314102,3578,5103.400357407542,387520.7960870667
