USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Split,Benkovac,NA,NA,Vukšić,2260/9,15,1,6,NA,2260/9,2260/9,300730,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300730_2260/9,KC_ZADZ.csv,5256308,300730,2260/9,2268.6769120085455,273234.8008873985
Split,Benkovac,NA,NA,Vukšić,2260/9,15,1,6,NA,2260/9,2260/9,300730,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300730_2260/9,KC_SKZ.csv,5256308,300730,2260/9,2268.6769120085455,273234.8008873985
Split,Benkovac,NA,NA,Vukšić,d.2260/1,24,1,6,NA,d.2260/1,2260/1,300730,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300730_2260/1,KC_ZADZ.csv,12512246,300730,2260/1,4805.881333299231,795971.7308985433
Split,Benkovac,NA,NA,Vukšić,d.2260/1,24,1,6,NA,d.2260/1,2260/1,300730,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300730_2260/1,KC_SKZ.csv,12512246,300730,2260/1,4805.881333299231,795971.7308985433
Split,Benkovac,NA,NA,Polača,555/37,4.4,1,6,NA,555/37,555/37,300624,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300624_555/37,KC_ZADZ.csv,10625951,300624,555/37,10862.505308946827,648289.336861557
Split,Benkovac,NA,NA,Polača,680/2,0.7,1,6,NA,680/2,680/2,300624,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300624_680/2,KC_ZADZ.csv,10627081,300624,680/2,2991.189893503259,196492.46643328457
Split,Benkovac,NA,NA,Polača,417/6,6,1,6,NA,417/6,417/6,300624,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300624_417/6,KC_ZADZ.csv,10626009,300624,417/6,3566.879361433157,388792.6553958655
Split,Benkovac,NA,NA,Tinj,d.444/7,29,1,6,NA,"d.444/7, d.470/1, d.476",444/7,300713,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300713_444/7,KC_ZADZ.csv,10707461,300712.99999999994,444/7,6210.571197171373,166366.97078372273
Split,Benkovac,NA,NA,Tinj,d.470/1,29,1,6,NA,"d.444/7, d.470/1, d.476",470/1,300713,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300713_470/1,KC_ZADZ.csv,10718593,300712.99999999994,470/1,3785.094411435907,247845.4551871717
Split,Benkovac,NA,NA,Tinj,d.476,29,1,6,NA,"d.444/7, d.470/1, d.476",476,300713,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300713_476,KC_ZADZ.csv,10715059,300712.99999999994,476,2335.6675343303295,255824.73047287922
Split,Benkovac,NA,NA,Pristeg,d.361/1,40,1,6,NA,d.361/1,361/1,300659,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300659_361/1,KC_ZADZ.csv,11607280,300659.00000000006,361/1,17066.16783987121,6010263.108515861
Split,Benkovac,NA,NA,Ceranje,d.1536/1,10,1,6,NA,d.1536/1,1536/1,300420,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300420_1536/1,KC_ZADZ.csv,10689580,300420,1536/1,6810.578990596612,1200864.1601654387
Split,Benkovac,NA,NA,Pristeg,d.1419,9,1,6,NA,d.1419,1419,300659,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300659_1419,NA,NA,NA,NA,NA,NA
Split,Benkovac,NA,NA,Kolarina,d.478/8,20,1,6,NA,d.478/8,478/8,300527,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300527_478/8,KC_ZADZ.csv,3621320,300527.00000000006,478/8,9631.203296055075,2280206.522057422
Split,Benkovac,NA,NA,Lepuri,d.1763,1,1,6,NA,d.1763,1763,300551,Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,300551_1763,KC_ZADZ.csv,12510033,300551.00000000006,1763,2647.4389749442607,292606.0664193185
