USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena;ko_mb
Split;Hvar;Plame;32a;Bogomolje;d.3930;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;3931;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;d.3934;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;"3935.
3936";50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;3924;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;d.3926;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;3932;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;3933;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;d.3941;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;d.3943;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;3947;50.38;1;1;NA;311634
Split;Hvar;Plame;35a;Bogomolje;d.3922/1;37.63;1;1;NA;311634
Split;Hvar;Plame;35a;Bogomolje;3922/5;37.63;1;1;NA;311634
Split;Hvar;Plame;35a;Bogomolje;d.3960/1;37.63;1;1;NA;311634
Split;Hvar;Plame;35a;Bogomolje;3960/9;37.63;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;d.3922/1;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;d.3941;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;d.3943;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;3953;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;3957;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;3958;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;d.3960/1;33.47;1;1;NA;311634
Split;Hvar;Plame;36a;Bogomolje;3960/2;33.47;1;1;NA;311634
Split;Dubrovnik;Kuna;5;Gornja vruæica;1845;20;1;1;NA;306479
