USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Split,Zadar,NA,NA,Poličnik,d.483/1,60.14,1,7,NA,d.483/1,483/1,334847,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334847_483/1,KC_ZADZ.csv,6095094,334847.00000000006,483/1,4020.3626907205826,805951.4923763152
Split,Zadar,NA,NA,Poličnik,d.481/8,7.13,1,7,NA,d.481/8,481/8,334847,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334847_481/8,KC_ZADZ.csv,6086805,334847.00000000006,481/8,2728.5202083664003,151739.47117093622
Split,Zadar,NA,NA,Poličnik,483/1,32.93,1,7,NA,483/1,483/1,334847,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334847_483/1,KC_ZADZ.csv,6095094,334847.00000000006,483/1,4020.3626907205826,805951.4923763152
Split,Zadar,NA,NA,Poličnik,483/1,27.21,1,7,NA,483/1,483/1,334847,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334847_483/1,KC_ZADZ.csv,6095094,334847.00000000006,483/1,4020.3626907205826,805951.4923763152
Split,Zadar,NA,NA,Poličnik,s.2036/1,132.2,1,7,NA,s.2036/1,s.2036/1,334847,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334847_s.2036/1,NA,NA,NA,NA,NA,NA
Split,Zadar,NA,NA,Murvica,d.433,20.68,1,7,NA,d.433,433,334774,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334774_433,KC_ZADZ.csv,6089948,334774,433,1987.4111701807508,237943.3414387449
Split,Zadar,NA,NA,Islam Latinski,660/1,9.5638,1,7,NA,660/1,660/1,334693,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334693_660/1,KC_ZADZ.csv,6099202,334692.99999999994,660/1,1608.5107742648686,108968.07913029616
Split,Zadar,NA,NA,Radovin,d.2208/4,25,1,7,NA,d.2208/4,2208/4,334928,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,334928_2208/4,KC_ZADZ.csv,4530474,334928,2208/4,2675.847138897677,260489.1873265738
Split,Zadar,NA,NA,Ninski Stanovi,1567,82.52,1,7,NA,1567,1567,336734,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,336734_1567,KC_ZADZ.csv,8002672,336734,1567,7120.717568036677,1404866.2667774677
Split,Zadar,NA,NA,Ninski Stanovi,1576,53.54,1,7,NA,1576,1576,336734,Zadar,Zadarska županija,Zadar,Šumarija Zadar,Split,336734_1576,KC_ZADZ.csv,8007216,336734,1576,10228.960748371108,1837063.3601467703
