USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Buzet;Buzet;Kras;38g;Marčenigla;4763, 8500, 8534;8.01;7;1;
Buzet;Buzet;Kras;39e;Marčenigla;321, 349/3m 410/1, 410/2, 416/1, 518/15, 569, 695/21, 972/11, 1160/2, 1160/6, 1286/16, 2467/6, 2467/7, 2483/34, 2483/35, 2485/1, 2485/9, 2600/19, 2622/2, 2622/12, 2652/1, 2652/3, 2655/15, 2655/17, 2655/18, 2657/8, 2659/14, 2786/1, 2786;3.62;7;1;
Buzet;Buzet;Kras;40l;Svi Sveti;581, 834, 845, 863, 1114, 1151, 1157, 1760, 1761, 1764/2, 1852, 1853, 1862/1, 1863/2, 1864/2, 1865, 1870/2, 1897/5, 1923, 1924/1, 1925/1, 1926/2, 1927/1, 1928/2, 2134/1, 2210, 2211, 2439/1, 2440, 2441/1, 2442, 2526, 2527, 2557/2, 3239, 3246, 3398, 3443, 3445, 3476, 3477, 3521, 3522, 4134, 4135/1, 4135/2, 4143, 4144/1, 4145, 4767, 4815, 4870, 4871, 4875, 4884, 4940, 5314, 5315;10.7;7;1;
Buzet;Buzet;Kras;41b;Roč;14087, 14197, 14198, 14250, 14251, 14252, 15253;1.3;8;1;
Buzet;Buzet;Kras;42h;Hum;106/1, 130/37, 338, 339, 340, 342, 343, 2394, 2395, 2396/6, 2408, 2409, 2411/1, 2412, 2415/2, 2420, 2422, 2426/23, 2426/33, 3167, 3190, 3590, 3594/92, 3653/14, 3653/21, 3653/22, 3653/29, 3653/31, 3653/31, 3653/34, 3653/37, 3653/40, 4202, 4204, 4205, 5216/17, 4216/18, 4222/2, 4226/113, 5226/125, 4226/126, 4505/1, 4502/2, 5212/13;;8;1;Buzet
Buzet;Buzet;Kras;43f;Hum;159/36, 159/37, 162, 4608/6, 4608/7, 5017/8, 5017/17, 5017/22, 5017/28, 5017/37, 5017/40, 5022/19, 5112/1, 5122;4.34;8;1;
Buzet;Buzet;Kras;44e;Hum;60354, 670/4, 885/26, 885/30, 885/32, 885/38, 885/77, 1309/126, 1391/14, 1391/59, 1398, 1592/1, 2001, 5212/8, 5212/27, 5212/35, 5212/36;10.16;8;1;
Buzet;Buzet;Kras;44f;Hum;1693/4;0.88;8;1;
Buzet;Buzet;Kras;44u;Hum;603/54, 603/55, 603/56, 1309/39;2.05;8;1;
Buzet;Buzet;Kras;44z;Hum;1309/8, 1309/22;1.84;8;1;
Buzet;Buzet;Kras;45a;Hum;885/12, 885/14, 885/52, 885/58, 885/140, 900/1, 1003/1, 1114/4, 5143/235, 5143/236, 5143/241, 5195/1, 5196/2, 5221/1, 5221/2, 5221/3, 5221/6, 5223, 5226/1, 5226/2, 5252/6, 5255, 5299/4, 5414/2, 5430/5, 5471/18;9.2;8;1;
Buzet;Buzet;Kras;45c;Hum;5367/32, 5367/50;1.16;8;1;
Buzet;Buje;Kras;31d;Oprtalj;725/17, 725/19, 1061/7, 1061/8, 1078/1, 1080/6, 1096/1, 1101/5, 1106/12, 1143/1, 1143/2, 1152/3, 1184/2, 1190/1, 1190/2, 1191, 1192, 1193/1, 1193/3, 1199/6, 1206/2, 1207, 1209, 1231, 1233, 1234, 1238/4, 1244, 1259, 1261, 1271, 1305/1, 1305/2, 1306/4, 1308/1, 1309/4, 1317, 1354/5, 1373/1, 1374, 1375, 1375/2, 1375/4, 1380/4, 1381/2, 1381/4, 1382/1, 9163/2, 9883/2, 9883/3, 9883/5, 9907/8, 9907/12, 9948, 9949/3, 9958, 9967/2, 9967/4, 9968, 9969, 9970/2, 10034, 10042/1, 10053/3, 10054/2, 10055/1, 10059/3, 10076, 10150/1, 10150/3, 10153, 10154, 10167/2, 10220/2, 10227, 10251, 10254, 10255, 10258, 10261, 10262, 10265/6, 10273/1, 10276, 10279, 10291/2, 10299, 10300/3, 10303/1, 10303/2, 10304/8, 10306/1, 10327, 10332, 10334, 10336/1, 10337/1, 10337/2, 10337/3, 10338, 10340, 10342, 10345, 10346, 10351/1, 10354, 10366, 10392, 10407, 10473, 10512/11, 10512/12, 10580/4, 10594/1, 10599, 10523/2, 10625, 10637/5, 10639, 10640, 10641, 10653/2, 10656, 10668/3, 10673/2, 10685/2, 10709/3, 10709/6, 10711/2, 10712/5, 10714/5, 10748/5, 10750, 10751;14.95;8;1;livade
Buzet;Buje;Kras;31i;Oprtalj;728/1, 728/2, 728/5, 731/1, 731/3, 994/1, 1146, 1149/1, 1149/3;2.22;8;1;livade
Karlovac;Krnjak;Debela kosa Markovac;26b;Burić Selo;292, d.323, d.340;21.75;9;1;
Karlovac;Krnjak;Debela kosa Markovac;26c;Burić Selo;279, d.280/1, d.280/2, d.296;12.9;9;1;
Karlovac;Krnjak;Debela kosa Markovac;26e;Burić Selo;d.18, d.329, d.406;9.9;9;1;
Karlovac;Krnjak;Debela kosa Markovac;26f;Burić Selo;280/5;2.11;9;1;
Karlovac;Krnjak;Skradska gora;3g;Krnjak;d.2723;8.86;9;1;
Karlovac;Krnjak;Skradska gora;13b;Krnjak;2125/1, 2125/4;25.49;9;1;
Karlovac;Krnjak;Skradska gora;4e;Gornji Skrad;d.592;0.62;9;1;
Karlovac;Krnjak;Skradska gora;30c;Gornji Skrad;d.312, d.590;2.81;9;1;
Karlovac;Krnjak;Skradska gora;31c;Gornji Skrad;d.592;1.79;9;1;
Karlovac;Krnjak;Skradska gora;12e;Donji Budački;706;1.37;9;1;
Karlovac;Krnjak;Skradska gora;12f;Donji Budački;710/2;0.18;9;1;
Karlovac;Karlovac;Veliko brdo;20c;Popović Brdo;d.443/20, 540, 1812, 1813, 1814/3;19.27;9;1;Popović Brdo Trebinja
Požega;Kutjevo;J. Krndija Kutjevačka;34g;Lukač;d.373/1;4.65;9;1;
Požega;Kutjevo;J. Krndija Kutjevačka;35h;Lukač;d.373/1;6.52;9;1;
Požega;Velika;Poljanačke Šume;28e;Bratuljevci;d.776/1, 776/3;4.38;9;1;
Požega;Pleternica;Sj. Babja gora;70e;Ćosine Laze;d.268;1.94;9;1;
Požega;Požega;Poljadijske šume;43e;Trapari;269, d.270/1;10.28;9;1;
Požega;Pleternica;Sj. Dilj pleternički;25m;Buk;1517;0.57;9;1;
Požega;Pleternica;Požeška gora;12c;Komorica;d.339, 395, 485, 493, 500;10.65;9;1;
